Product Name,Product Details,Price,Actual Price,Discount Percentage
Banana Sharbatly,500g - Approx 7 pieces per KG,2.95SAR,,
Valencia Orange For Juice,1KG - Approx 3 pieces per KG,3.90SAR,,
Grapes White Seedless,500g - Approx 2 pieces per KG,3.48SAR,SAR4.97,30% OFF
Fresh Parsley Local,,1.25SAR,,
"Blueberry Punnet, Approx 125g",,5.95SAR,SAR7.95,25% OFF
Fresh Red Capsicum,500g - Approx 9 pieces per KG,3.45SAR,SAR4.47,22% OFF
Red Apple,500g - Approx 6 pieces per KG,3.48SAR,SAR4.47,22% OFF
"Garlic Bag, Approx 350g",,3.45SAR,,
Kiwi Fresh,500g - Approx 10 pieces per KG,5.47SAR,,
Avocado,500g - Approx 5 pieces per KG,4.45SAR,,
Green Chili,250g - Approx 71 pieces per KG,2.99SAR,,
Indian Red Onion,500g - Approx 6 pieces per KG,1.48SAR,,
Mango Tymor,500g - Approx 2 pieces per KG,12.47SAR,,
Fresh White Cabbage,1KG - Approx 1 piece per KG,3.50SAR,,
Fresh Cauliflower,500g - Approx 1 piece per KG,4.97SAR,,
White Onion,500g - Approx 6 pieces per KG,2.48SAR,,
Green Apple (Granny Smith),500g - Approx 6 pieces per KG,3.98SAR,SAR4.47,11% OFF
Fresh Mint Local,,1.25SAR,,
Navel Orange,1KG - Approx 3 pieces per KG,11.95SAR,,
Potato,500g - Approx 7 pieces per KG,1.48SAR,,
Fresh Broccoli,500g - Approx 2 pieces per KG,5.97SAR,SAR8.47,29% OFF
Fresh Yellow Capsicum,500g - Approx 5 pieces per KG,3.45SAR,SAR4.47,22% OFF
Sweet Potato,500g - Approx 7 pieces per KG,2.98SAR,,
"Potato, Medium Bag, Approx 1.5 to 1.8kg",,5.95SAR,,
Beetroot,500g - Approx 7 pieces per KG,2.48SAR,,
Ginger China,250g - Approx 8 pieces per KG,4.99SAR,,
"Onion Red Medium Bag, Approx1.8kg",,3.95SAR,,
Red Apple,500g - Approx 6 pieces per KG,3.48SAR,,
Watermelon,,17.50SAR,,
Fresh green Onion Local,,1.95SAR,,
Garlic China,250g - Approx 33 pieces per KG,2.99SAR,,
Imported Lemon,500g - Approx 10 pieces per KG,2.98SAR,,
Fresh Imported Carrot,500g - Approx 7 pieces per KG,3.48SAR,,
Red Pomegranate,500g - Approx 4 pieces per KG,5.97SAR,,
Sweet Melon,2.5KG - Approx 1 piece per KG,7.38SAR,,
White Grapes Punnet 400g,,4.95SAR,SAR5.95,16% OFF
Mango Tommy,500g - Approx 2 pieces per KG,3.98SAR,,
Pumpkin,500g - Approx 500 pieces per KG,3.48SAR,,
Fresh Dill Local,,1.25SAR,,
Mushroom White Local Punnet 250g,,7.90SAR,SAR8.95,11% OFF
Fresh Celery Stick,500g - Approx 2 pieces per KG,5.97SAR,,
Grapes Red Globe,500g - Approx 2 pieces per KG,5.97SAR,,
Rosemary Pear,500g - Approx 10 pieces per KG,4.97SAR,,
Mango,500g - Approx 6 pieces per KG,4.47SAR,,
Green Beans,500g - Approx 152 pieces per KG,10.97SAR,,
Peach,500g - Approx 10 pieces per KG,5.97SAR,,
Cabbage Flat,1KG - Approx 1 piece per KG,4.95SAR,,
Seedless Red Grapes,500g - Approx 2 pieces per KG,3.48SAR,SAR4.97,30% OFF
Nadec Tomatoes On Vine Red,500g - Approx 10 pieces per KG,2.98SAR,SAR3.98,25% OFF
Red Chili,250g - Approx 71 pieces per KG,3.74SAR,,
Carrot Local Bag 1kg,,4.95SAR,SAR5.95,16% OFF
Lime,500g - Approx 17 pieces per KG,4.97SAR,,
Mango Zibdah - Yemeni,500g - Approx 2 pieces per KG,5.97SAR,,
Onion Golden,500g - Approx 6 pieces per KG,4.97SAR,,
Lime Bag,,2.95SAR,,
Guava,500g - Approx 10 pieces per KG,12.47SAR,,
Fresh Red Cabbage,1KG - Approx 1 piece per KG,3.95SAR,,
Apple golden,500g - Approx 6 pieces per KG,4.47SAR,,
Nectarine,500g - Approx 8 pieces per KG,5.97SAR,,
Green Pepper Torshy,500g - Approx 1 piece per KG,6.47SAR,,
Papaya,1KG - Approx 1 piece per KG,4.95SAR,SAR6.95,28% OFF
Cucumber Foam Box,,8.95SAR,,
"Garlic Peeled, Approx 500g",,7.95SAR,,
Grapefruit,500g - Approx 5 pieces per KG,2.98SAR,,
Clementine With Leaves Spain,500g - Approx 9 pieces per KG,4.97SAR,,
Apricot,500g - Approx 15 pieces per KG,6.47SAR,,
Bitter Gourd-India,500g - Approx 8 pieces per KG,4.47SAR,,
Long Eggplant,500g - Approx 4 pieces per KG,3.98SAR,,
Okra Local,500g - Approx 50 pieces per KG,9.97SAR,,
Dragon Fruit - Red,500g - Approx 3 pieces per KG,6.47SAR,SAR7.97,18% OFF
Green Imported Chili,250g - Approx 71 pieces per KG,4.99SAR,,
Red Plum,500g - Approx 10 pieces per KG,6.97SAR,,
Avocado Hass,500g - Approx 5 pieces per KG,9.97SAR,,
Small Eggplant,500g - Approx 5 pieces per KG,4.47SAR,,
Pineapple (Fresh),1.5KG - Approx 1 piece per KG,14.92SAR,,
Peach Punnet,,6.85SAR,,
Local Tomato Box 900g,,6.95SAR,,
Fresh Spinach Local,,0.99SAR,,
Moroccan Clementine,500g - Approx 10 pieces per KG,7.47SAR,,
Eggplant Foam Box 1kg,,7.95SAR,,
Fresh Molokhia Local,1 piece  - Approx 1000 pieces per KG,1.95SAR,,
Pumpkin,1 piece KG - Approx 1 piece per KG,4.97SAR,,
"Driscols Raspberry, Approx 170g",,19.95SAR,SAR24.95,20% OFF
Pear Semper,500g - Approx 10 pieces per KG,4.47SAR,,
Long Green Pumpkin,500g - Approx 3 pieces per KG,2.48SAR,,
Zucchini Foam Box 800-900 g,,9.95SAR,,
Fish Mango,,4.97SAR,,
Apple Fuji,500g - Approx 6 pieces per KG,4.47SAR,,
Guava Box,,34.95SAR,,
Fresh Kuraith Local,1 piece  - Approx 1000 pieces per KG,0.99SAR,,
Coscia Pear,500g - Approx 10 pieces per KG,5.97SAR,,
"Blackberries Imported, Pack, Approx 170g",,17.95SAR,SAR23.95,25% OFF
